finding_id,cloud_provider,title,redacted_detail
FND-0300,AWS,RDS Instance Publicly Accessible,"db_instance_identifier=[PROJECT_RESOURCE_NAME_001], publicly_accessible=True, vpc_id=[VPC_ID_001]"
FND-0464,AWS,RDS Instance Publicly Accessible,rds.regions.ap-south-1.vpcs.[VPC_ID_001].instances.scoutid-[AWS_SECRET_KEY_001].PubliclyAccessible
FND-0061,AWS,IAM inline policy does not allow privilege escalation,"Inline policy [PROJECT_RESOURCE_NAME_002] attached to role [PROJECT_RESOURCE_NAME_003] allows privilege escalation using the following actions: 'apprunner:CreateService', 'apprunner:UpdateService', 'autoscaling:CreateAutoScalingGroup', 'autoscaling:CreateLaunchConfiguration', 'autoscaling:UpdateAutoScalingGroup', 'bedrock-agentcore:ConnectBrowserAutomationStream', 'bedrock-agentcore:CreateAgentRuntime', 'bedrock-agentcore:CreateAgentRuntimeEndpoint', 'bedrock-agentcore:CreateBrowser', 'bedrock-agentcore:CreateCodeInterpreter', 'bedrock-agentcore:CreateHarness', 'bedrock-agentcore:CreateWorkloadIdentity', 'bedrock-agentcore:GetAgentRuntime', 'bedrock-agentcore:InvokeAgentRuntimeCommand', 'bedrock-agentcore:InvokeCodeInterpreter', 'bedrock-agentcore:StartBrowserSession', 'bedrock-agentcore:StartCodeInterpreterSession', 'cloudformation:CreateChangeSet', 'cloudformation:CreateStack', 'cloudformation:CreateStackInstances', 'cloudformation:CreateStackSet', 'cloudformation:ExecuteChangeSet', 'cloudformation:UpdateStack', 'cloudformation:UpdateStackSet', 'codebuild:CreateProject', 'codebuild:StartBuild', 'codebuild:StartBuildBatch', 'codestar:CreateProject', 'datapipeline:ActivatePipeline', 'datapipeline:CreatePipeline', 'datapipeline:PutPipelineDefinition', 'dynamodb:CreateTable', 'dynamodb:PutItem', 'ec2-instance-connect:SendSSHPublicKey', 'ec2:CreateLaunchTemplateVersion', 'ec2:DescribeInstances', 'ec2:ModifyInstanceAttribute', 'ec2:ModifyLaunchTemplate', 'ec2:RequestSpotInstances', 'ec2:RunInstances', 'ec2:StartInstances', 'ec2:StopInstances', 'ecs:CreateService', 'ecs:DeregisterContainerInstance', 'ecs:DescribeTasks', 'ecs:ExecuteCommand', 'ecs:RegisterContainerInstance', 'ecs:RegisterTaskDefinition', 'ecs:RunTask', 'ecs:StartTask', 'glue:CreateDevEndpoint', 'glue:CreateJob', 'glue:CreateTrigger', 'glue:StartJobRun', 'glue:UpdateDevEndpoint', 'glue:UpdateJob', 'iam:*', 'iam:AddUserToGroup', 'iam:AttachGroupPolicy', 'iam:AttachRolePolicy', 'iam:AttachUserPolicy', 'iam:CreateAccessKey', 'iam:CreateLoginProfile', 'iam:CreatePolicyVersion', 'iam:DeleteAccessKey', 'iam:PassRole', 'iam:Put*', 'iam:PutGroupPolicy', 'iam:PutRolePolicy', 'iam:PutUserPolicy', 'iam:SetDefaultPolicyVersion', 'iam:UpdateAssumeRolePolicy', 'iam:UpdateLoginProfile', 'lambda:AddPermission', 'lambda:CreateEventSourceMapping', 'lambda:CreateFunction', 'lambda:InvokeFunction', 'lambda:UpdateFunctionCode', 'lambda:UpdateFunctionConfiguration', 'sagemaker:CreateNotebookInstance', 'sagemaker:CreateNotebookInstanceLifecycleConfig', 'sagemaker:CreatePresignedNotebookInstanceUrl', 'sagemaker:CreateProcessingJob', 'sagemaker:CreateTrainingJob', 'sagemaker:StartNotebookInstance', 'sagemaker:StopNotebookInstance', 'sagemaker:UpdateNotebookInstance', 'ssm:SendCommand', 'ssm:StartSession', 'sts:AssumeRole'."
FND-0315,Azure,SQL Server Firewall Allows All IPs,"firewall_rule=MISCONFIG-AllowAllIPs, range=[IPV4_ADDRESS_001]-[IPV4_ADDRESS_002]"
FND-0040,AWS,EC2 instance does not allow ingress from the Internet to TCP port 22 (SSH),Instance [INSTANCE_ID_001] has SSH exposed to 0.0.0.0/0 on public IP address [IPV4_ADDRESS_003] in public subnet [SUBNET_ID_001].
FND-0260,Azure,Azure SQL Server does not have firewall rules allowing 0.0.0.0-255.255.255.255,SQL Server sql-[PROJECT_RESOURCE_NAME_004] from subscription Azure subscription 1 ([AZURE_SUBSCRIPTION_ID_001]) has firewall rules allowing [IPV4_ADDRESS_001]-[IPV4_ADDRESS_002].
FND-0178,Azure,Azure SQL Server does not have firewall rules allowing 0.0.0.0-255.255.255.255,SQL Server sql-[PROJECT_RESOURCE_NAME_005] from subscription Azure subscription 1 ([AZURE_SUBSCRIPTION_ID_001]) has firewall rules allowing [IPV4_ADDRESS_001]-[IPV4_ADDRESS_002].
FND-0299,AWS,Security Group Allows MySQL (3306) from 0.0.0.0/0,"group_name=[PROJECT_RESOURCE_NAME_006], group_id=[SECURITY_GROUP_ID_001], from_port=3306, to_port=3306, ip_ranges=[{""CidrIp"":""0.0.0.0/0"",""Description"":null}]"
FND-0097,AWS,RDS instance is not publicly exposed to the Internet,RDS Instance [PROJECT_RESOURCE_NAME_001] is set as publicly accessible and security group [PROJECT_RESOURCE_NAME_006] ([SECURITY_GROUP_ID_001]) has mysql port 3306 open to the Internet at endpoint [RDS_ENDPOINT_001] in a public subnet [SUBNET_ID_002].
FND-0052,AWS,Security group does not allow ingress from 0.0.0.0/0 or ::/0 to MySQL port 3306,Security group [PROJECT_RESOURCE_NAME_006] ([SECURITY_GROUP_ID_001]) has MySQL port 3306 open to the Internet.
