finding_id,cloud_provider,title,severity,service,priority_band,priority_score,llm_model,llm_provider,rag_control_ref,rag_framework,rag_source_url,rag_similarity,retrieval_mode,llm_guidance,verify_method,verify_reason,verified,raw_detail
FND-0300,AWS,RDS Instance Publicly Accessible,critical,rds,P0 - CRITICAL,114.0,meta/llama-3.1-8b-instruct,NVIDIA NIM,"AWS-RDS-01, AWS-RDS-02, AWS-RDS-03","AWS Well-Architected Framework — Security Pillar, CIS AWS Foundations Benchmark v5.0.0","https://docs.aws.amazon.com/wellarchitected/latest/security-pillar/welcome.html, https://www.cisecurity.org/benchmark/amazon_web_services",0.517,hybrid,"RDS instance is publicly accessible, exposing it to potential brute-force and exploitation attempts from the internet.
Update the RDS instance to use a VPC and set publicly_accessible to False, then enable RDS storage encryption using AWS KMS, and update the parameter group to require SSL/TLS for client connections by setting require_secure_transport to 1.",embedding+embedding,control_grounding[embedding]=sim=0.6126 thr=0.55 (PASS) | raw_data_grounding[embedding]=sim=0.5407 thr=0.35 (PASS),YES - REVIEW RECOMMENDED (P0),"db_instance_identifier=[PROJECT_RESOURCE_NAME_001], publicly_accessible=True, vpc_id=[VPC_ID_001]"
FND-0464,AWS,RDS Instance Publicly Accessible,high,rds,P1 - HIGH,90.0,meta/llama-3.1-8b-instruct,NVIDIA NIM,"AWS-RDS-01, AWS-RDS-02, AWS-RDS-03","AWS Well-Architected Framework — Security Pillar, CIS AWS Foundations Benchmark v5.0.0","https://docs.aws.amazon.com/wellarchitected/latest/security-pillar/welcome.html, https://www.cisecurity.org/benchmark/amazon_web_services",0.522,hybrid,"RDS instances are publicly accessible, exposing them to potential security threats and exploitation attempts.
To remediate, create an encrypted snapshot of the RDS instance, then restore a new instance from it, ensuring it's not publicly accessible and has SSL/TLS enabled for client connections.",embedding+embedding,control_grounding[embedding]=sim=0.5894 thr=0.55 (PASS) | raw_data_grounding[embedding]=sim=0.5687 thr=0.35 (PASS),YES,rds.regions.ap-south-1.vpcs.[VPC_ID_001].instances.scoutid-[AWS_SECRET_KEY_001].PubliclyAccessible
FND-0061,AWS,IAM inline policy does not allow privilege escalation,high,iam,P1 - HIGH,90.0,meta/llama-3.1-8b-instruct,NVIDIA NIM,"AWS-IAM-03, AWS-IAM-02, AWS-IAM-01","AWS Well-Architected Framework — Security Pillar, CIS AWS Foundations Benchmark v5.0.0","https://docs.aws.amazon.com/wellarchitected/latest/security-pillar/welcome.html, https://www.cisecurity.org/benchmark/amazon_web_services",0.47,hybrid,"Privilege escalation through IAM inline policy allows unauthorized access to sensitive resources.
Remove or scope the 'iam:*' action in the inline policy [PROJECT_RESOURCE_NAME_002] attached to role [PROJECT_RESOURCE_NAME_003] to specific resources, and ensure the policy only grants necessary permissions for the workload's requirements.",embedding+embedding,control_grounding[embedding]=sim=0.6413 thr=0.55 (PASS) | raw_data_grounding[embedding]=sim=0.6966 thr=0.35 (PASS),YES,"Inline policy [PROJECT_RESOURCE_NAME_002] attached to role [PROJECT_RESOURCE_NAME_003] allows privilege escalation using the following actions: 'apprunner:CreateService', 'apprunner:UpdateService', 'autoscaling:CreateAutoScalingGroup', 'autoscaling:CreateLaunchConfiguration', 'autoscaling:UpdateAutoScalingGroup', 'bedrock-agentcore:ConnectBrowserAutomationStream', 'bedrock-agentcore:CreateAgentRuntime', 'bedrock-agentcore:CreateAgentRuntimeEndpoint', 'bedrock-agentcore:CreateBrowser', 'bedrock-agentcore:CreateCodeInterpreter', 'bedrock-agentcore:CreateHarness', 'bedrock-agentcore:CreateWorkloadIdentity', 'bedrock-agentcore:GetAgentRuntime', 'bedrock-agentcore:InvokeAgentRuntimeCommand', 'bedrock-agentcore:InvokeCodeInterpreter', 'bedrock-agentcore:StartBrowserSession', 'bedrock-agentcore:StartCodeInterpreterSession', 'cloudformation:CreateChangeSet', 'cloudformation:CreateStack', 'cloudformation:CreateStackInstances', 'cloudformation:CreateStackSet', 'cloudformation:ExecuteChangeSet', 'cloudformation:UpdateStack', 'cloudformation:UpdateStackSet', 'codebuild:CreateProject', 'codebuild:StartBuild', 'codebuild:StartBuildBatch', 'codestar:CreateProject', 'datapipeline:ActivatePipeline', 'datapipeline:CreatePipeline', 'datapipeline:PutPipelineDefinition', 'dynamodb:CreateTable', 'dynamodb:PutItem', 'ec2-instance-connect:SendSSHPublicKey', 'ec2:CreateLaunchTemplateVersion', 'ec2:DescribeInstances', 'ec2:ModifyInstanceAttribute', 'ec2:ModifyLaunchTemplate', 'ec2:RequestSpotInstances', 'ec2:RunInstances', 'ec2:StartInstances', 'ec2:StopInstances', 'ecs:CreateService', 'ecs:DeregisterContainerInstance', 'ecs:DescribeTasks', 'ecs:ExecuteCommand', 'ecs:RegisterContainerInstance', 'ecs:RegisterTaskDefinition', 'ecs:RunTask', 'ecs:StartTask', 'glue:CreateDevEndpoint', 'glue:CreateJob', 'glue:CreateTrigger', 'glue:StartJobRun', 'glue:UpdateDevEndpoint', 'glue:UpdateJob', 'iam:*', 'iam:AddUserToGroup', 'iam:AttachGroupPolicy', 'iam:AttachRolePolicy', 'iam:AttachUserPolicy', 'iam:CreateAccessKey', 'iam:CreateLoginProfile', 'iam:CreatePolicyVersion', 'iam:DeleteAccessKey', 'iam:PassRole', 'iam:Put*', 'iam:PutGroupPolicy', 'iam:PutRolePolicy', 'iam:PutUserPolicy', 'iam:SetDefaultPolicyVersion', 'iam:UpdateAssumeRolePolicy', 'iam:UpdateLoginProfile', 'lambda:AddPermission', 'lambda:CreateEventSourceMapping', 'lambda:CreateFunction', 'lambda:InvokeFunction', 'lambda:UpdateFunctionCode', 'lambda:UpdateFunctionConfiguration', 'sagemaker:CreateNotebookInstance', 'sagemaker:CreateNotebookInstanceLifecycleConfig', 'sagemaker:CreatePresignedNotebookInstanceUrl', 'sagemaker:CreateProcessingJob', 'sagemaker:CreateTrainingJob', 'sagemaker:StartNotebookInstance', 'sagemaker:StopNotebookInstance', 'sagemaker:UpdateNotebookInstance', 'ssm:SendCommand', 'ssm:StartSession', 'sts:AssumeRole'."
FND-0315,Azure,SQL Server Firewall Allows All IPs,critical,sql,P1 - HIGH,85.5,meta/llama-3.1-8b-instruct,NVIDIA NIM,"AZ-SQL-01, AWS-EC2-03, AZ-STORAGE-02","CIS AWS Foundations Benchmark v5.0.0, Microsoft Cloud Security Benchmark","https://learn.microsoft.com/en-us/security/benchmark/azure/, https://www.cisecurity.org/benchmark/amazon_web_services",0.421,hybrid,SKIPPED — no sufficiently relevant control found in KB. Route to manual review.,retrieval_gate,top_sim=0.421 below confidence threshold 0.3 (or out of KB scope),LOW_CONFIDENCE_RETRIEVAL,"firewall_rule=MISCONFIG-AllowAllIPs, range=[IPV4_ADDRESS_001]-[IPV4_ADDRESS_002]"
FND-0040,AWS,EC2 instance does not allow ingress from the Internet to TCP port 22 (SSH),critical,ec2,P1 - HIGH,85.5,meta/llama-3.1-8b-instruct,NVIDIA NIM,"AWS-EC2-03, AWS-EC2-01, AWS-EC2-04",CIS AWS Foundations Benchmark v5.0.0,https://www.cisecurity.org/benchmark/amazon_web_services,0.456,hybrid,"SSH access to the internet should be restricted to prevent unauthorized access.
Update the security group rule for the public subnet [SUBNET_ID_001] to only allow SSH access from a specific trusted IP address, VPN CIDR range, or a bastion host, and remove the 0.0.0.0/0 rule.",embedding+embedding,control_grounding[embedding]=sim=0.6722 thr=0.55 (PASS) | raw_data_grounding[embedding]=sim=0.6854 thr=0.35 (PASS),YES,Instance [INSTANCE_ID_001] has SSH exposed to 0.0.0.0/0 on public IP address [IPV4_ADDRESS_003] in public subnet [SUBNET_ID_001].
FND-0260,Azure,Azure SQL Server does not have firewall rules allowing 0.0.0.0-255.255.255.255,critical,sqlserver,P1 - HIGH,85.5,meta/llama-3.1-8b-instruct,NVIDIA NIM,"AZ-SQL-01, ISO-A.8.24, DPDP-STORAGE-LIMIT","Digital Personal Data Protection Act, 2023 (India), ISO/IEC 27001:2022 Annex A — Technological Controls, Microsoft Cloud Security Benchmark","https://iseoblue.com/iso-27001/annex-a/iso-27001-controls-list/, https://learn.microsoft.com/en-us/security/benchmark/azure/, https://www.meity.gov.in/static/uploads/2024/06/2bf1f0e9f04e6fb4f8fef35e82c42aa5.pdf",0.517,hybrid,"Unrestricted access to Azure SQL Server may allow unauthorized data access or malicious activity.
Update the Azure SQL Server firewall rules to restrict access to specific IP ranges, and ensure Transparent Data Encryption remains enabled for data at rest.",embedding+embedding,control_grounding[embedding]=sim=0.7460 thr=0.55 (PASS) | raw_data_grounding[embedding]=sim=0.6356 thr=0.35 (PASS),YES,SQL Server sql-[PROJECT_RESOURCE_NAME_004] from subscription Azure subscription 1 ([AZURE_SUBSCRIPTION_ID_001]) has firewall rules allowing [IPV4_ADDRESS_001]-[IPV4_ADDRESS_002].
FND-0178,Azure,Azure SQL Server does not have firewall rules allowing 0.0.0.0-255.255.255.255,critical,sqlserver,P1 - HIGH,85.5,meta/llama-3.1-8b-instruct,NVIDIA NIM,"AZ-SQL-01, ISO-A.8.24, DPDP-STORAGE-LIMIT","Digital Personal Data Protection Act, 2023 (India), ISO/IEC 27001:2022 Annex A — Technological Controls, Microsoft Cloud Security Benchmark","https://iseoblue.com/iso-27001/annex-a/iso-27001-controls-list/, https://learn.microsoft.com/en-us/security/benchmark/azure/, https://www.meity.gov.in/static/uploads/2024/06/2bf1f0e9f04e6fb4f8fef35e82c42aa5.pdf",0.516,hybrid,"Azure SQL Server does not have firewall rules allowing 0.0.0.0-255.255.255.255
Update the Azure SQL Server firewall rules to restrict access to specific IP ranges, and ensure Transparent Data Encryption remains enabled for data at rest.",embedding+embedding,control_grounding[embedding]=sim=0.6916 thr=0.55 (PASS) | raw_data_grounding[embedding]=sim=0.6815 thr=0.35 (PASS),YES,SQL Server sql-[PROJECT_RESOURCE_NAME_005] from subscription Azure subscription 1 ([AZURE_SUBSCRIPTION_ID_001]) has firewall rules allowing [IPV4_ADDRESS_001]-[IPV4_ADDRESS_002].
FND-0299,AWS,Security Group Allows MySQL (3306) from 0.0.0.0/0,critical,ec2,P1 - HIGH,85.5,meta/llama-3.1-8b-instruct,NVIDIA NIM,"AWS-EC2-04, AWS-EC2-03, AWS-EC2-01",CIS AWS Foundations Benchmark v5.0.0,https://www.cisecurity.org/benchmark/amazon_web_services,0.52,hybrid,"MySQL database port 3306 is exposed to the internet, allowing unauthorized access.
Update the security group to restrict access to the MySQL port (3306) from only trusted application-tier security groups or specific CIDR ranges, and remove the 0.0.0.0/0 rule.",embedding+embedding,control_grounding[embedding]=sim=0.6860 thr=0.55 (PASS) | raw_data_grounding[embedding]=sim=0.5937 thr=0.35 (PASS),YES,"group_name=[PROJECT_RESOURCE_NAME_006], group_id=[SECURITY_GROUP_ID_001], from_port=3306, to_port=3306, ip_ranges=[{""CidrIp"":""0.0.0.0/0"",""Description"":null}]"
FND-0097,AWS,RDS instance is not publicly exposed to the Internet,critical,rds,P1 - HIGH,85.5,meta/llama-3.1-8b-instruct,NVIDIA NIM,"AWS-RDS-01, AWS-RDS-02, AWS-RDS-03","AWS Well-Architected Framework — Security Pillar, CIS AWS Foundations Benchmark v5.0.0","https://docs.aws.amazon.com/wellarchitected/latest/security-pillar/welcome.html, https://www.cisecurity.org/benchmark/amazon_web_services",0.508,hybrid,"RDS instance is publicly exposed to the Internet, making it vulnerable to brute-force and exploitation attempts.
Set RDS instance [PROJECT_RESOURCE_NAME_001] to not publicly accessible and update security group [PROJECT_RESOURCE_NAME_006] ([SECURITY_GROUP_ID_001]) to close mysql port 3306 to the Internet.",embedding+embedding,control_grounding[embedding]=sim=0.5879 thr=0.55 (PASS) | raw_data_grounding[embedding]=sim=0.8501 thr=0.35 (PASS),YES,RDS Instance [PROJECT_RESOURCE_NAME_001] is set as publicly accessible and security group [PROJECT_RESOURCE_NAME_006] ([SECURITY_GROUP_ID_001]) has mysql port 3306 open to the Internet at endpoint [RDS_ENDPOINT_001] in a public subnet [SUBNET_ID_002].
FND-0052,AWS,Security group does not allow ingress from 0.0.0.0/0 or ::/0 to MySQL port 3306,high,ec2,P1 - HIGH,67.5,meta/llama-3.1-8b-instruct,NVIDIA NIM,"AWS-EC2-04, AWS-EC2-03, AWS-EC2-01",CIS AWS Foundations Benchmark v5.0.0,https://www.cisecurity.org/benchmark/amazon_web_services,0.492,hybrid,"MySQL port 3306 is exposed to the internet, allowing unauthorized access.
Update the security group [PROJECT_RESOURCE_NAME_006] ([SECURITY_GROUP_ID_001]) to only allow ingress from trusted application-tier security groups or specific trusted CIDR ranges, and remove the rule allowing access from 0.0.0.0/0 to MySQL port 3306.",embedding+embedding,control_grounding[embedding]=sim=0.6396 thr=0.55 (PASS) | raw_data_grounding[embedding]=sim=0.7984 thr=0.35 (PASS),YES,Security group [PROJECT_RESOURCE_NAME_006] ([SECURITY_GROUP_ID_001]) has MySQL port 3306 open to the Internet.
