finding_id,query_title,retrieved_refs,frameworks,source_urls,top_similarity,retrieval_mode,retrieved_texts
FND-0300,RDS Instance Publicly Accessible,"AWS-RDS-01, AWS-RDS-02, AWS-RDS-03","AWS Well-Architected Framework - Security Pillar, CIS AWS Foundations Benchmark v5.0.0","https://docs.aws.amazon.com/wellarchitected/latest/security-pillar/welcome.html, https://www.cisecurity.org/benchmark/amazon_web_services",0.517,hybrid,"RDS instances should not be marked publicly accessible unless there is a documented business need. A publicly accessible database is reachable directly from the internet on its database port, exposing it to brute-force and exploitation attempts. || RDS storage encryption should be enabled using AWS KMS. Encryption-at-rest cannot be toggled on an existing unencrypted instance, so remediation typically requires creating an encrypted snapshot and restoring a new instance from it. || RDS parameter groups should require SSL/TLS for client connections (require_secure_transport=1). Without this, credentials and query data travel in plaintext across the network."
FND-0464,RDS Instance Publicly Accessible,"AWS-RDS-01, AWS-RDS-02, AWS-RDS-03","AWS Well-Architected Framework - Security Pillar, CIS AWS Foundations Benchmark v5.0.0","https://docs.aws.amazon.com/wellarchitected/latest/security-pillar/welcome.html, https://www.cisecurity.org/benchmark/amazon_web_services",0.522,hybrid,"RDS instances should not be marked publicly accessible unless there is a documented business need. A publicly accessible database is reachable directly from the internet on its database port, exposing it to brute-force and exploitation attempts. || RDS storage encryption should be enabled using AWS KMS. Encryption-at-rest cannot be toggled on an existing unencrypted instance, so remediation typically requires creating an encrypted snapshot and restoring a new instance from it. || RDS parameter groups should require SSL/TLS for client connections (require_secure_transport=1). Without this, credentials and query data travel in plaintext across the network."
FND-0061,IAM inline policy does not allow privilege escalation,"AWS-IAM-03, AWS-IAM-02, AWS-IAM-01","AWS Well-Architected Framework - Security Pillar, CIS AWS Foundations Benchmark v5.0.0","https://docs.aws.amazon.com/wellarchitected/latest/security-pillar/welcome.html, https://www.cisecurity.org/benchmark/amazon_web_services",0.47,hybrid,"IAM inline and managed policies should be reviewed for privilege-escalation paths - actions such as iam:PassRole, iam:CreatePolicyVersion, or iam:AttachUserPolicy granted together can let a low-privileged principal grant itself administrative access. Remove or scope these action combinations to specific resources. || IAM roles and users should follow least privilege. Avoid attaching broad managed policies such as AdministratorAccess to service roles; scope permissions to only the specific actions and resources the workload actually requires. || IAM users with console access should have multi-factor authentication enforced. A compromised password alone should not be sufficient to authenticate, especially for privileged or administrative users."
FND-0040,EC2 instance does not allow ingress from the Internet to TCP port 22 (SSH),"AWS-EC2-03, AWS-EC2-01, AWS-EC2-04",CIS AWS Foundations Benchmark v5.0.0,https://www.cisecurity.org/benchmark/amazon_web_services,0.456,hybrid,"Security groups should not permit SSH (port 22) from 0.0.0.0/0. Administrative access should be restricted to a bastion host, VPN CIDR range, or specific known IP addresses. || EC2 instances should enforce IMDSv2 by setting HttpTokens to required. IMDSv1 is vulnerable to SSRF-based credential theft, where an attacker who can trigger an HTTP request from the instance can retrieve IAM role credentials from the metadata endpoint. || Security groups should not permit database ports such as MySQL (3306), PostgreSQL (5432), or MSSQL (1433) from 0.0.0.0/0. Database ports should only be reachable from application-tier security groups or specific trusted CIDR ranges, never directly from the internet."
FND-0260,Azure SQL Server does not have firewall rules allowing 0.0.0.0-255.255.255.255,"AZ-SQL-01, ISO-A.8.24, DPDP-STORAGE-LIMIT","Digital Personal Data Protection Act, 2023 (India), ISO/IEC 27001:2022 Annex A - Technological Controls, Microsoft Cloud Security Benchmark","https://iseoblue.com/iso-27001/annex-a/iso-27001-controls-list/, https://learn.microsoft.com/en-us/security/benchmark/azure/, https://www.meity.gov.in/static/uploads/2024/06/2bf1f0e9f04e6fb4f8fef35e82c42aa5.pdf",0.517,hybrid,"Azure SQL Database firewall rules should not allow unrestricted access. Firewall rules should be scoped to specific IP ranges, and Transparent Data Encryption should remain enabled for data at rest. || Rules for the effective use of cryptography, including encryption of data at rest and in transit, should be defined and implemented to protect the confidentiality, authenticity, and integrity of information. || Personal data should be retained only for as long as necessary for the stated purpose of processing, and storage should be limited accordingly to reduce the impact of any breach."
FND-0178,Azure SQL Server does not have firewall rules allowing 0.0.0.0-255.255.255.255,"AZ-SQL-01, ISO-A.8.24, DPDP-STORAGE-LIMIT","Digital Personal Data Protection Act, 2023 (India), ISO/IEC 27001:2022 Annex A - Technological Controls, Microsoft Cloud Security Benchmark","https://iseoblue.com/iso-27001/annex-a/iso-27001-controls-list/, https://learn.microsoft.com/en-us/security/benchmark/azure/, https://www.meity.gov.in/static/uploads/2024/06/2bf1f0e9f04e6fb4f8fef35e82c42aa5.pdf",0.516,hybrid,"Azure SQL Database firewall rules should not allow unrestricted access. Firewall rules should be scoped to specific IP ranges, and Transparent Data Encryption should remain enabled for data at rest. || Rules for the effective use of cryptography, including encryption of data at rest and in transit, should be defined and implemented to protect the confidentiality, authenticity, and integrity of information. || Personal data should be retained only for as long as necessary for the stated purpose of processing, and storage should be limited accordingly to reduce the impact of any breach."
FND-0299,Security Group Allows MySQL (3306) from 0.0.0.0/0,"AWS-EC2-04, AWS-EC2-03, AWS-EC2-01",CIS AWS Foundations Benchmark v5.0.0,https://www.cisecurity.org/benchmark/amazon_web_services,0.52,hybrid,"Security groups should not permit database ports such as MySQL (3306), PostgreSQL (5432), or MSSQL (1433) from 0.0.0.0/0. Database ports should only be reachable from application-tier security groups or specific trusted CIDR ranges, never directly from the internet. || Security groups should not permit SSH (port 22) from 0.0.0.0/0. Administrative access should be restricted to a bastion host, VPN CIDR range, or specific known IP addresses. || EC2 instances should enforce IMDSv2 by setting HttpTokens to required. IMDSv1 is vulnerable to SSRF-based credential theft, where an attacker who can trigger an HTTP request from the instance can retrieve IAM role credentials from the metadata endpoint."
FND-0097,RDS instance is not publicly exposed to the Internet,"AWS-RDS-01, AWS-RDS-02, AWS-RDS-03","AWS Well-Architected Framework - Security Pillar, CIS AWS Foundations Benchmark v5.0.0","https://docs.aws.amazon.com/wellarchitected/latest/security-pillar/welcome.html, https://www.cisecurity.org/benchmark/amazon_web_services",0.508,hybrid,"RDS instances should not be marked publicly accessible unless there is a documented business need. A publicly accessible database is reachable directly from the internet on its database port, exposing it to brute-force and exploitation attempts. || RDS storage encryption should be enabled using AWS KMS. Encryption-at-rest cannot be toggled on an existing unencrypted instance, so remediation typically requires creating an encrypted snapshot and restoring a new instance from it. || RDS parameter groups should require SSL/TLS for client connections (require_secure_transport=1). Without this, credentials and query data travel in plaintext across the network."
FND-0052,Security group does not allow ingress from 0.0.0.0/0 or ::/0 to MySQL port 3306,"AWS-EC2-04, AWS-EC2-03, AWS-EC2-01",CIS AWS Foundations Benchmark v5.0.0,https://www.cisecurity.org/benchmark/amazon_web_services,0.492,hybrid,"Security groups should not permit database ports such as MySQL (3306), PostgreSQL (5432), or MSSQL (1433) from 0.0.0.0/0. Database ports should only be reachable from application-tier security groups or specific trusted CIDR ranges, never directly from the internet. || Security groups should not permit SSH (port 22) from 0.0.0.0/0. Administrative access should be restricted to a bastion host, VPN CIDR range, or specific known IP addresses. || EC2 instances should enforce IMDSv2 by setting HttpTokens to required. IMDSv1 is vulnerable to SSRF-based credential theft, where an attacker who can trigger an HTTP request from the instance can retrieve IAM role credentials from the metadata endpoint."
FND-0318,Storage Account Reachable From Any Network,"AZ-STORAGE-02, AZ-STORAGE-01, ISO-A.8.12","ISO/IEC 27001:2022 Annex A - Technological Controls, Microsoft Cloud Security Benchmark","https://iseoblue.com/iso-27001/annex-a/iso-27001-controls-list/, https://learn.microsoft.com/en-us/security/benchmark/azure/",0.502,hybrid,"Azure Storage accounts should restrict network access (publicNetworkAccess=Disabled or a firewall scoped to selected VNets/IPs) rather than being reachable from any network, to prevent unauthorized access to blobs, queues, or tables from the open internet. || Azure Storage accounts should have public blob access disabled at the account level (allowBlobPublicAccess=false). Individual containers should not be set to public unless explicitly required, since public containers are readable by anyone with the URL. || Measures to detect and prevent the unauthorised disclosure or extraction of sensitive information from systems and networks should be applied, including monitoring of public exposure points such as storage buckets."
