Check_ID,ISO_Control,DPDP_Section,Relevance,Justification
organizations_tags_policies_enabled_and_attached,A.5.13,N/A,None,"Resource labelling; no direct personal-data handling implication"
iam_avoid_root_usage,A.5.15,Section 8(5),High,"Root account misuse risk = uncontrolled access to all systems storing personal data; violates reasonable security safeguards duty"
config_recorder_all_regions_enabled,A.5.16,Section 8(5),Medium,"Config recorder tracks resource-state changes; without it unauthorized changes to personal-data stores cannot be audited"
iam_aws_attached_policy_no_administrative_privileges,A.5.18,Section 8(5),High,"Wildcard star:star access lets any compromised credential read or export personal data in RDS/S3 without restriction"
config_recorder_all_regions_enabled,A.5.22,Section 8(5),Medium,"Same underlying gap as config recorder finding - supplier/service change monitoring gap"
iam_securityaudit_role_created,A.5.3,Section 8(5),Low,"Segregation-of-duties gap; indirect risk, no direct data exposure"
account_maintain_different_contact_details_to_security_billing_and_operations,A.5.6,N/A,None,"Administrative contact hygiene; no personal-data processing link"
ec2_instance_public_ip,A.8.1,Section 8(5),High,"Publicly-reachable EC2 hosting the app increases attack surface to reach backend where personal data (RDS) resides"
s3_bucket_lifecycle_enabled,A.8.10,Section 8(5),Low,"Missing lifecycle rules mean stale data retained indefinitely; conflicts with DPDP storage-limitation principle"
cloudtrail_kms_encryption_enabled,A.8.11,Section 8(5),Medium,"Unencrypted audit trail could itself leak metadata about personal-data access patterns"
backup_vaults_exist,A.8.13,Section 8(5),Medium,"No backup means risk of irrecoverable personal-data loss, contrary to reasonable safeguards duty"
ec2_ebs_volume_protected_by_backup_plan,A.8.14,Section 8(5),Medium,"Same as backup vaults finding, at volume level (RDS/EC2 disk)"
awslambda_function_invoke_api_operations_cloudtrail_logging_enabled,A.8.15,Section 8(5),Medium,"Remediation Lambda actions not logged means no audit trail if it touches personal-data resources"
cloudtrail_cloudwatch_logging_enabled,A.8.16,Section 8(5),High,"No real-time log monitoring means a breach affecting personal data could go undetected, delaying mandatory breach reporting"
iam_aws_attached_policy_no_administrative_privileges,A.8.2,Section 8(5),High,"Duplicate of A.5.18 finding - privileged access without restriction"
awslambda_function_inside_vpc,A.8.20,Section 8(5),Medium,"Lambda outside VPC has broader network exposure if it processes or touches personal data during remediation"
awslambda_function_inside_vpc,A.8.21,Section 8(5),Medium,"Same underlying finding as A.8.20"
awslambda_function_inside_vpc,A.8.22,Section 8(5),Medium,"Same underlying finding as A.8.20"
vpc_flow_logs_enabled,A.8.23,Section 8(5),High,"No network traffic visibility means exfiltration of personal data from RDS/S3 cannot be detected"
cloudtrail_kms_encryption_enabled,A.8.24,Section 8(5),Medium,"Duplicate of A.8.11 finding"
accessanalyzer_enabled,A.8.3,Section 8(5),High,"No automated detection of unintended public or cross-account access to S3/RDS holding personal data"
iam_user_hardware_mfa_enabled,A.8.5,Section 8(5),Critical,"IAM user Alex (admin) has no MFA enabled; single-factor compromise means full account and personal-data access"
