cloud,week,scan_stage,scan_id,captured_at,finding_id,account_id,service,resource_name,region,check_id,title,description,severity,status,source_tool,detected_by,risk_score,cvss,exposure,blast_radius,remediation,llm_confidence,verification_status,iso_27001,cis_control,mitre_attck,is_catalogued_misconfig
Azure,3,After remediation,azure-w3-after-remediation,2026-07-12,AZ-STG-PUBLIC-CONTAINER,sub-0f3a2b,Storage,stcloudguardianlab,Central US,storage_blob_public_access,Blob container is publicly readable,Anonymous public read access is allowed on a blob container.,Critical,PASS,Prowler,Prowler|ScoutSuite|Steampipe,95,9.1,Public,Subscription,Set container access to Private and disable anonymous blob access on the account.,High,Verified,A.8.3 Access restriction,CIS 3.7,T1530,Yes
Azure,3,After remediation,azure-w3-after-remediation,2026-07-12,AZ-NET-SSH-OPEN,sub-0f3a2b,Network,nsg-web-cloudguardian,Central US,nsg_ssh_open_internet,SSH (22) open to the internet,An inbound NSG rule allows 0.0.0.0/0 on TCP 22.,Critical,FAIL,Prowler,Prowler|ScoutSuite,93,8.6,Public,Resource,Restrict SSH to your /32 or use Azure Bastion instead of public SSH.,High,Verified,A.8.20 Network security,CIS 6.1,T1110,Yes
Azure,3,After remediation,azure-w3-after-remediation,2026-07-12,AZ-SQL-FW-ALLOWALL,sub-0f3a2b,SQL,sql-cloudguardian-lab,Central US,sql_firewall_allow_all,SQL firewall allows all IPs,A firewall rule spans 0.0.0.0-255.255.255.255.,Critical,PASS,Prowler,Prowler|Steampipe,90,8.2,Public,Resource,Remove the allow-all rule; permit only required IPs or Azure services.,High,Verified,A.8.20 Network security,CIS 4.1,T1190,Yes
Azure,3,After remediation,azure-w3-after-remediation,2026-07-12,AZ-VM-PWD-AUTH,sub-0f3a2b,Compute,vm-web-cloudguardian,Central US,vm_password_auth_enabled,VM allows SSH password auth,The Linux VM accepts password-based SSH login.,High,FAIL,ScoutSuite,ScoutSuite,72,7.0,Public,Resource,Disable password authentication; rely on SSH keys only.,Medium,Verified,A.8.5 Secure authentication,CIS 6.2,T1110,Yes
Azure,3,After remediation,azure-w3-after-remediation,2026-07-12,AZ-STG-PUBNET,sub-0f3a2b,Storage,stcloudguardianlab,Central US,storage_public_network_access,Storage reachable from all networks,Public network access is enabled on the storage account.,High,PASS,Prowler,Prowler|Steampipe,70,6.5,Public,Subscription,Disable public network access; use private endpoints or selected networks.,Medium,Verified,A.8.20 Network security,CIS 3.8,T1530,Yes
Azure,3,After remediation,azure-w3-after-remediation,2026-07-12,AZ-STG-LOG-OFF,sub-0f3a2b,Logging,stcloudguardianlab,Central US,storage_logging_disabled,Diagnostic logging disabled on storage,Storage access logs are not sent to Log Analytics.,Medium,PASS,Steampipe,Steampipe,55,5.3,Internal,Subscription,Enable diagnostic settings and route logs to Log Analytics.,High,Verified,A.8.15 Logging,CIS 3.10,T1562,Yes
Azure,3,After remediation,azure-w3-after-remediation,2026-07-12,AZ-KV-PUBLIC,sub-0f3a2b,KeyVault,kv-cloudguardian-lab,Central US,keyvault_public_access,Key Vault open to all networks,The Key Vault firewall is not restricting network access.,High,PASS,Prowler,Prowler,68,6.8,Public,Subscription,Enable the Key Vault firewall; allow only trusted services and private endpoints.,Medium,Flagged,A.8.24 Cryptography,CIS 8.5,T1552,No
Azure,3,After remediation,azure-w3-after-remediation,2026-07-12,AZ-SQL-TDE,sub-0f3a2b,SQL,sql-cloudguardian-lab,Central US,sql_tde_check,TDE status needs manual confirmation,The scanner could not confirm Transparent Data Encryption is enforced.,Medium,MANUAL,ScoutSuite,ScoutSuite,48,,Internal,Resource,Confirm TDE is enabled on the SQL database (on by default).,Low,Needs Review,A.8.24 Cryptography,CIS 4.5,T1005,No
Azure,3,After remediation,azure-w3-after-remediation,2026-07-12,AZ-MON-ACTLOG-ALERT,sub-0f3a2b,Monitoring,rg-cloudguardian-lab,Central US,activity_log_alert_missing,No activity-log alert for config changes,No alert exists for security-relevant control-plane operations.,Low,FAIL,Steampipe,Steampipe|ScoutSuite,35,4.0,Internal,Subscription,Create activity-log alerts for NSG/firewall rule changes.,Medium,Verified,A.8.16 Monitoring,CIS 5.2,T1562,No
Azure,3,After remediation,azure-w3-after-remediation,2026-07-12,AZ-IAM-MI-MISSING,sub-0f3a2b,Identity,vm-web-cloudguardian,Central US,managed_identity_missing,VM has no managed identity,The VM authenticates without a managed identity.,Low,FAIL,ScoutSuite,ScoutSuite,30,3.5,Internal,Resource,Assign a system-assigned managed identity with least-privilege RBAC.,Medium,Verified,A.5.16 Identity management,CIS 1.21,T1078,No
