PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_SUBGROUP;REQUIREMENTS_ATTRIBUTES_SERVICE;REQUIREMENTS_ATTRIBUTES_TYPE;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME;REQUIREMENTS_ATTRIBUTES_COMMENT
aws;The NIST 800-53 (Rev. 5) Low-Moderate-High framework represents the security controls and the associated assessment procedures that are defined in NIST SP 800-53 Revision 5 Recommended Security Controls for Federal Information Systems and Organizations. For any discrepancies that are noted in the content between this NIST SP 800-53 framework and the latest published NIST Special Publication SP 800-53 Revision 5, refer to the official published documents that are available at the NIST Computer Security Resource Center.;735291151388;ap-south-1;2026-07-10 18:08:16.187152;au_2_b;Coordinate the event logging function with other organizational entities requiring audit-related information to guide and inform the selection criteria for events to be logged.;Audit and Accountability (AU);Event Logging (AU-2);;aws;;FAIL;No CloudTrail trails are configured to log Amazon Bedrock API calls.;arn:aws:cloudtrail:ap-south-1:735291151388:trail;cloudtrail_bedrock_logging_enabled;False;735291151388;NIST-800-53-Revision-5;National Institute of Standards and Technology (NIST) 800-53 Revision 5;
aws;The NIST 800-53 (Rev. 5) Low-Moderate-High framework represents the security controls and the associated assessment procedures that are defined in NIST SP 800-53 Revision 5 Recommended Security Controls for Federal Information Systems and Organizations. For any discrepancies that are noted in the content between this NIST SP 800-53 framework and the latest published NIST Special Publication SP 800-53 Revision 5, refer to the official published documents that are available at the NIST Computer Security Resource Center.;735291151388;ap-south-1;2026-07-10 18:08:16.187152;au_12_a;Provide audit record generation capability for the event types the system is capable of auditing as defined in AU-2a on [Assignment: organization-defined system components].;Audit and Accountability (AU);Audit Record Generation (AU-12);;aws;;FAIL;No CloudTrail trails are configured to log Amazon Bedrock API calls.;arn:aws:cloudtrail:ap-south-1:735291151388:trail;cloudtrail_bedrock_logging_enabled;False;735291151388;NIST-800-53-Revision-5;National Institute of Standards and Technology (NIST) 800-53 Revision 5;
aws;The NIST 800-53 (Rev. 5) Low-Moderate-High framework represents the security controls and the associated assessment procedures that are defined in NIST SP 800-53 Revision 5 Recommended Security Controls for Federal Information Systems and Organizations. For any discrepancies that are noted in the content between this NIST SP 800-53 framework and the latest published NIST Special Publication SP 800-53 Revision 5, refer to the official published documents that are available at the NIST Computer Security Resource Center.;735291151388;ap-south-1;2026-07-10 18:08:16.187152;au_12_c;Generate audit records for the event types defined in AU-2c that include the audit record content defined in AU-3.;Audit and Accountability (AU);Audit Record Generation (AU-12);;aws;;FAIL;No CloudTrail trails are configured to log Amazon Bedrock API calls.;arn:aws:cloudtrail:ap-south-1:735291151388:trail;cloudtrail_bedrock_logging_enabled;False;735291151388;NIST-800-53-Revision-5;National Institute of Standards and Technology (NIST) 800-53 Revision 5;
aws;The NIST 800-53 (Rev. 5) Low-Moderate-High framework represents the security controls and the associated assessment procedures that are defined in NIST SP 800-53 Revision 5 Recommended Security Controls for Federal Information Systems and Organizations. For any discrepancies that are noted in the content between this NIST SP 800-53 framework and the latest published NIST Special Publication SP 800-53 Revision 5, refer to the official published documents that are available at the NIST Computer Security Resource Center.;735291151388;ap-northeast-1;2026-07-10 18:08:16.187152;ac_2_4;Automatically audit account creation, modification, enabling, disabling, and removal actions.;Access Control (AC);Account Management (AC-2);;aws;;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:ap-northeast-1:735291151388:trail;cloudtrail_multi_region_enabled;False;735291151388;NIST-800-53-Revision-5;National Institute of Standards and Technology (NIST) 800-53 Revision 5;
aws;The NIST 800-53 (Rev. 5) Low-Moderate-High framework represents the security controls and the associated assessment procedures that are defined in NIST SP 800-53 Revision 5 Recommended Security Controls for Federal Information Systems and Organizations. For any discrepancies that are noted in the content between this NIST SP 800-53 framework and the latest published NIST Special Publication SP 800-53 Revision 5, refer to the official published documents that are available at the NIST Computer Security Resource Center.;735291151388;ap-northeast-1;2026-07-10 18:08:16.187152;ac_3_1;Employ an audited override of automated access control mechanisms under [Assignment: organization-defined conditions] by [Assignment: organization-defined roles].;Access Control (AC);Access Enforcement (AC-3);;aws;;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:ap-northeast-1:735291151388:trail;cloudtrail_multi_region_enabled;False;735291151388;NIST-800-53-Revision-5;National Institute of Standards and Technology (NIST) 800-53 Revision 5;
aws;The NIST 800-53 (Rev. 5) Low-Moderate-High framework represents the security controls and the associated assessment procedures that are defined in NIST SP 800-53 Revision 5 Recommended Security Controls for Federal Information Systems and Organizations. For any discrepancies that are noted in the content between this NIST SP 800-53 framework and the latest published NIST Special Publication SP 800-53 Revision 5, refer to the official published documents that are available at the NIST Computer Security Resource Center.;735291151388;ap-northeast-1;2026-07-10 18:08:16.187152;ac_3_10;Employ an audited override of automated access mechanisms under [Assignment: organization-defined conditions] by [Assignment: organization-defined roles].;Access Control (AC);Access Enforcement (AC-3);;aws;;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:ap-northeast-1:735291151388:trail;cloudtrail_multi_region_enabled;False;735291151388;NIST-800-53-Revision-5;National Institute of Standards and Technology (NIST) 800-53 Revision 5;
aws;The NIST 800-53 (Rev. 5) Low-Moderate-High framework represents the security controls and the associated assessment procedures that are defined in NIST SP 800-53 Revision 5 Recommended Security Controls for Federal Information Systems and Organizations. For any discrepancies that are noted in the content between this NIST SP 800-53 framework and the latest published NIST Special Publication SP 800-53 Revision 5, refer to the official published documents that are available at the NIST Computer Security Resource Center.;735291151388;ap-northeast-1;2026-07-10 18:08:16.187152;ac_4_26;When transferring information between different security domains, record and audit content filtering actions and results for the information being filtered.;Access Control (AC);Information Flow Enforcement (AC-4);;aws;;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:ap-northeast-1:735291151388:trail;cloudtrail_multi_region_enabled;False;735291151388;NIST-800-53-Revision-5;National Institute of Standards and Technology (NIST) 800-53 Revision 5;
aws;The NIST 800-53 (Rev. 5) Low-Moderate-High framework represents the security controls and the associated assessment procedures that are defined in NIST SP 800-53 Revision 5 Recommended Security Controls for Federal Information Systems and Organizations. For any discrepancies that are noted in the content between this NIST SP 800-53 framework and the latest published NIST Special Publication SP 800-53 Revision 5, refer to the official published documents that are available at the NIST Computer Security Resource Center.;735291151388;ap-northeast-1;2026-07-10 18:08:16.187152;ac_6_9;Log the execution of privileged functions.;Access Control (AC);Least Privilege (AC-6);;aws;;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:ap-northeast-1:735291151388:trail;cloudtrail_multi_region_enabled;False;735291151388;NIST-800-53-Revision-5;National Institute of Standards and Technology (NIST) 800-53 Revision 5;
aws;The NIST 800-53 (Rev. 5) Low-Moderate-High framework represents the security controls and the associated assessment procedures that are defined in NIST SP 800-53 Revision 5 Recommended Security Controls for Federal Information Systems and Organizations. For any discrepancies that are noted in the content between this NIST SP 800-53 framework and the latest published NIST Special Publication SP 800-53 Revision 5, refer to the official published documents that are available at the NIST Computer Security Resource Center.;735291151388;ap-northeast-1;2026-07-10 18:08:16.187152;au_2_b;Coordinate the event logging function with other organizational entities requiring audit-related information to guide and inform the selection criteria for events to be logged.;Audit and Accountability (AU);Event Logging (AU-2);;aws;;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:ap-northeast-1:735291151388:trail;cloudtrail_multi_region_enabled;False;735291151388;NIST-800-53-Revision-5;National Institute of Standards and Technology (NIST) 800-53 Revision 5;
aws;The NIST 800-53 (Rev. 5) Low-Moderate-High framework represents the security controls and the associated assessment procedures that are defined in NIST SP 800-53 Revision 5 Recommended Security Controls for Federal Information Systems and Organizations. For any discrepancies that are noted in the content between this NIST SP 800-53 framework and the latest published NIST Special Publication SP 800-53 Revision 5, refer to the official published documents that are available at the NIST Computer Security Resource Center.;735291151388;ap-northeast-1;2026-07-10 18:08:16.187152;au_3_1;Generate audit records containing the following additional information: [Assignment: organization-defined additional information].;Audit and Accountability (AU);Content of Audit Records (AU-3);;aws;;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:ap-northeast-1:735291151388:trail;cloudtrail_multi_region_enabled;False;735291151388;NIST-800-53-Revision-5;National Institute of Standards and Technology (NIST) 800-53 Revision 5;
